Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demo,Chrome 70.0.3538.102,,2018-11-26 10:19:58,2018-11-26 10:21:41,1m - 43.328s,PASSED
,,,,,,
Test Cases/Demo/DataTable_Pagination,Chrome 70.0.3538.102,,2018-11-26 10:19:59,2018-11-26 10:21:02,1m - 2.673s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.102,,2018-11-26 10:19:59,2018-11-26 10:19:59,0.124s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-26 10:20:00,2018-11-26 10:20:11,10.888s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-26 10:20:11,2018-11-26 10:20:13,1.701s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-26 10:20:13,2018-11-26 10:20:14,1.229s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-26 10:20:14,2018-11-26 10:20:14,0.265s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 70.0.3538.102,,2018-11-26 10:20:14,2018-11-26 10:20:14,0.014s,PASSED
"Statement - pagination = driver.findElements(org.openqa.selenium.By.xpath("".//*[@id=""example_paginate""]/span/a""))",Chrome 70.0.3538.102,,2018-11-26 10:20:14,2018-11-26 10:20:14,0.158s,PASSED
Statement - size = pagination.size(),Chrome 70.0.3538.102,,2018-11-26 10:20:14,2018-11-26 10:20:14,0.001s,PASSED
"Statement - println(""Total Pages of this site is :"" + size)",Chrome 70.0.3538.102,,2018-11-26 10:20:14,2018-11-26 10:20:14,0.002s,PASSED
Statement - row_data_table = 1,Chrome 70.0.3538.102,,2018-11-26 10:20:14,2018-11-26 10:20:14,0.001s,PASSED
"Statement - For ([i = 1, i <= size, (i++)])",Chrome 70.0.3538.102,,2018-11-26 10:20:14,2018-11-26 10:21:02,47.373s,PASSED
,,,,,,
Test Cases/Demo/Excel_with_Database,Chrome 70.0.3538.102,,2018-11-26 10:21:02,2018-11-26 10:21:41,39.733s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.102,,2018-11-26 10:21:02,2018-11-26 10:21:02,0.001s,PASSED
"Statement - downloadPath = ""C:\Users\longnguyen\Downloads\Selenium Easy - Download Table Data to CSV, Excel, PDF and Print.xlsx""",Chrome 70.0.3538.102,,2018-11-26 10:21:02,2018-11-26 10:21:02,0.003s,PASSED
"Statement - sheetname = ""Sheet1""",Chrome 70.0.3538.102,,2018-11-26 10:21:02,2018-11-26 10:21:02,0.001s,PASSED
Statement - total_excel_row = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-26 10:21:02,2018-11-26 10:21:02,0.001s,PASSED
Statement - excel_column = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-26 10:21:02,2018-11-26 10:21:02,0.000s,PASSED
Statement - Name = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-26 10:21:02,2018-11-26 10:21:02,0.001s,PASSED
Statement - Position = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-26 10:21:02,2018-11-26 10:21:02,0.001s,PASSED
Statement - Office = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-26 10:21:02,2018-11-26 10:21:02,0.000s,PASSED
Statement - StartDate = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-26 10:21:02,2018-11-26 10:21:02,0.001s,PASSED
Statement - Salary = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-26 10:21:02,2018-11-26 10:21:02,0.000s,PASSED
Statement - Age = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 70.0.3538.102,,2018-11-26 10:21:02,2018-11-26 10:21:02,0.001s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-26 10:21:02,2018-11-26 10:21:09,6.378s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-26 10:21:09,2018-11-26 10:21:10,0.983s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-26 10:21:10,2018-11-26 10:21:11,1.256s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-26 10:21:11,2018-11-26 10:21:12,1.016s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 10:21:12,2018-11-26 10:21:12,0.259s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-26 10:21:12,2018-11-26 10:21:14,2.001s,PASSED
demo.ReadExcel.setExcelFile,Chrome 70.0.3538.102,,2018-11-26 10:21:14,2018-11-26 10:21:16,2.357s,PASSED
Statement - total_excel_row = CustomKeywords.demo.ReadExcel.getRowCount(sheetname),Chrome 70.0.3538.102,,2018-11-26 10:21:16,2018-11-26 10:21:17,0.056s,PASSED
Statement - println(total_excel_row),Chrome 70.0.3538.102,,2018-11-26 10:21:17,2018-11-26 10:21:17,0.000s,PASSED
"Statement - For ([row = 1, row < total_excel_row, (row++)])",Chrome 70.0.3538.102,,2018-11-26 10:21:17,2018-11-26 10:21:41,24.944s,PASSED
